Date,Ticker,RSI,ATR_Pct,Overext,RR,MomCons,R_5d,R_10d,R_20d,Excess_5d,Excess_10d,Excess_20d
2024-10-17,AMD,45.83057770933908,0.036571435546875,0.020031120113505496,55.16611566044453,0.5,"Ticker
AMD   -0.017984
dtype: float64","Ticker
AMD   -0.077952
dtype: float64",,"Ticker
AMD   NaN
SPY   NaN
dtype: float64","Ticker
AMD   NaN
SPY   NaN
dtype: float64",
2024-10-17,GOOGL,49.35421670723362,0.019929678488411113,0.00788264013231732,2.868088593718403,0.5714285714285714,"Ticker
GOOGL   -0.001289
dtype: float64","Ticker
GOOGL    0.050206
dtype: float64",,"Ticker
GOOGL   NaN
SPY     NaN
dtype: float64","Ticker
GOOGL   NaN
SPY     NaN
dtype: float64",
2024-10-18,AMD,45.51781584971471,0.036430999747734324,0.015597633838393632,16830001.831054688,0.5,"Ticker
AMD    0.001667
dtype: float64",,,"Ticker
AMD   NaN
SPY   NaN
dtype: float64",,
2024-10-18,GOOGL,50.60949186236161,0.019384766365466835,0.010713237852099988,1.8860001588183912,0.5714285714285714,"Ticker
GOOGL    0.01132
dtype: float64",,,"Ticker
GOOGL   NaN
SPY     NaN
dtype: float64",,
2024-10-18,META,56.35915985554918,0.019630525846324347,0.055389201453935444,1.481748287591445,0.5,"Ticker
META   -0.005586
dtype: float64",,,"Ticker
META   NaN
SPY    NaN
dtype: float64",,
2024-10-21,AMD,48.14467059515701,0.034416004718476646,0.025010472493854463,7.720241295341704,0.5714285714285714,"Ticker
AMD    0.012793
dtype: float64",,,"Ticker
AMD   NaN
SPY   NaN
dtype: float64",,
2024-10-21,MSFT,48.57789874283382,0.014451838084789854,-0.002076082935456247,1.4426279694264295,0.5,"Ticker
MSFT    0.018649
dtype: float64",,,"Ticker
MSFT   NaN
SPY    NaN
dtype: float64",,
2024-10-22,AMD,43.66852885757939,0.03599009912335275,-0.001966429470291464,18710006.713867188,0.5,"Ticker
AMD    0.078915
dtype: float64",,,"Ticker
AMD   NaN
SPY   NaN
dtype: float64",,
2024-10-23,AMZN,47.287406308159696,0.020905361629582016,0.009660986555451334,1.6496140427557893,0.7142857142857143,"Ticker
AMZN    0.043419
dtype: float64",,,"Ticker
AMZN   NaN
SPY    NaN
dtype: float64",,
2024-10-23,GOOGL,48.447550856254814,0.0187896180648225,0.006441318209625013,4.652212300926235,0.6428571428571429,"Ticker
GOOGL    0.071753
dtype: float64",,,"Ticker
GOOGL   NaN
SPY     NaN
dtype: float64",,
2024-10-24,GOOGL,48.28950707826047,0.018607794258368258,0.0057516393813787925,5.046566749238145,0.5714285714285714,"Ticker
GOOGL    0.051561
dtype: float64",,,"Ticker
GOOGL   NaN
SPY     NaN
dtype: float64",,
2024-10-25,META,52.658135014673086,0.01897822266426297,0.040425667959868905,2.373440502113488,0.5,,,,,,
2024-10-30,AMD,41.04626025566858,0.03952604167048675,-0.043456395766329425,24199996.948242188,0.5,,,,,,
2024-10-31,AAPL,43.51298916715265,0.017819986264182887,-0.005529830737800889,2.504728832972747,0.5714285714285714,,,,,,
2024-10-31,META,47.377482970602614,0.023110603147315598,0.022185358698667113,7.290375383646809,0.5,,,,,,
2024-10-31,NVDA,49.182798401498594,0.03552060709068818,0.06023247452808378,1.3966845450740284,0.5714285714285714,,,,,,
